"Team","Games","Corners For","Corners Against"
"Arsenal","14","5.50","3.71"
"Aston Villa","15","4.40","4.93"
"Bournemouth","15","3.60","7.00"
"Brentford","15","4.73","5.73"
"Brighton","14","6.43","4.00"
"Chelsea","14","5.36","5.36"
"Crystal Palace","14","4.07","4.43"
"Everton","15","4.73","7.53"
"Fulham","15","5.13","5.33"
"Leeds","14","5.43","5.14"
"Leicester","15","3.47","6.47"
"Liverpool","14","7.50","3.29"
"Man City","14","7.29","2.14"
"Man Utd","14","4.00","5.36"
"Newcastle","15","6.60","4.33"
"Nottm Forest","15","3.00","6.80"
"Southampton","15","4.27","5.93"
"Tottenham","15","6.47","4.20"
"West Ham","15","5.33","4.53"
"Wolverhampton","15","4.87","5.13"